Variable,Description,Data Type,Clinical Relevance,Reference Range,Clinical Categories,Prognostic Impact,Categories,Health Disparities,Psychosocial Factor,Staging Details,Treatment Implications,Clinical Subcategories,Stage Grouping Survival (5-year),Reference Ranges,Surgical Considerations,Nottingham Grading System Components,Testing Method,Breast Cancer Subtypes,Clinical Significance,Treatment Response,Reference Standards,Quality Implications,Prognostic Categories,Nodal Ratio,Survival Metrics,Benchmark Survival Rates,Censoring,Analysis Methods,Event Definition
Age,Age of patient at diagnosis in years,Continuous (Numeric),"Age is one of the strongest risk factors for breast cancer. Risk increases with age, with most cases diagnosed after age 50. Younger patients (<40) often have more aggressive tumors.",30-90 years (typical dataset range),"{'Young': '<40 years - Higher likelihood of aggressive subtypes, BRCA mutations', 'Middle-aged': '40-65 years - Peak incidence period for breast cancer', 'Elderly': '>65 years - Higher comorbidity considerations, treatment tolerance'}",Moderate - Younger age often associated with worse prognosis,,,,,,,,,,,,,,,,,,,,,,,
Race,Self-reported racial/ethnic background of patient,Categorical (Nominal),"Racial disparities exist in breast cancer incidence, stage at diagnosis, access to care, and survival outcomes. African American women have higher mortality rates despite lower incidence.",,,Significant - Due to biological and socioeconomic factors,"{'White': 'Caucasian/European ancestry', 'Black': 'African American/African ancestry', 'Other': 'American Indian/AK Native, Asian/Pacific Islander'}",Black women have 40% higher mortality rate; Asian women have lowest incidence rates,,,,,,,,,,,,,,,,,,,,,
Marital Status,Legal marital status of patient at time of diagnosis,Categorical (Nominal),"Social support systems affect treatment adherence, psychological outcomes, and survival. Married patients often have better outcomes due to caregiver support.",,,Moderate - Married patients show improved survival,"{'Married': 'Including common law marriages', 'Single': 'Never married', 'Divorced': 'Previously married, legally dissolved', 'Widowed': 'Spouse deceased', 'Separated': 'Living apart from spouse'}",,Strong predictor of treatment compliance and quality of life,,,,,,,,,,,,,,,,,,,,
T Stage,Primary Tumor Size and Extent (T in TNM staging),Categorical (Ordinal),Describes the size and local extent of the primary tumor. Larger tumors generally indicate more advanced disease and may require more aggressive treatment approaches.,,,High - Direct correlation with survival outcomes,"{'T1': 'Tumor <= 20mm in greatest dimension', 'T2': 'Tumor > 20mm but <= 50mm', 'T3': 'Tumor > 50mm', 'T4': 'Tumor of any size with direct extension to chest wall/skin'}",,,"{'T1a': '<= 5mm', 'T1b': '>5mm to 10mm', 'T1c': '>10mm to 20mm', 'T4a': 'Extension to chest wall', 'T4b': 'Skin ulceration, satellite nodules, or edema', 'T4c': 'Both T4a and T4b', 'T4d': 'Inflammatory carcinoma'}",Determines surgical approach and neoadjuvant therapy need,,,,,,,,,,,,,,,,,,
N Stage,Regional Lymph Node Involvement (N in TNM staging),Categorical (Ordinal),Indicates spread to regional lymph nodes. Nodal involvement is one of the most important prognostic factors in breast cancer.,,,Very High - Most significant prognostic factor,"{'N1': '1-3 axillary lymph nodes involved', 'N2': '4-9 axillary lymph nodes involved', 'N3': '10+ axillary nodes OR infraclavicular/supraclavicular nodes'}",,,,Determines need for axillary dissection and radiation field,"{'N1mi': 'Micrometastases (>0.2mm to 2mm)', 'N1a': '1-3 axillary nodes with metastases >2mm', 'N2a': '4-9 axillary nodes', 'N2b': 'Internal mammary nodes without axillary involvement', 'N3a': '10+ axillary nodes or infraclavicular nodes', 'N3b': 'Clinically detected internal mammary nodes with axillary nodes', 'N3c': 'Supraclavicular lymph nodes'}",,,,,,,,,,,,,,,,,
6th Stage,AJCC 6th Edition Overall Stage Grouping,Categorical (Ordinal),"Combines T, N, and M staging into overall disease stage. Used for treatment planning and prognosis estimation.",,,Very High - Primary determinant of treatment approach,"{'IIA': 'T0-1/N1 or T2/N0 - Localized with limited spread', 'IIB': 'T2/N1 or T3/N0 - Moderate local advancement', 'IIIA': 'T0-2/N2 or T3/N1-2 - Locally advanced', 'IIIB': 'T4/N0-2 - Chest wall/skin involvement', 'IIIC': 'Any T/N3 - Extensive nodal involvement'}",,,,,,"{'Stage I': '~100%', 'Stage IIA': '~93%', 'Stage IIB': '~72%', 'Stage IIIA': '~54%', 'Stage IIIB': '~41%', 'Stage IIIC': '~49%'}",,,,,,,,,,,,,,,,
A Stage,Summary Stage indicating Regional vs Distant disease,Categorical (Binary),Simplified staging indicating whether cancer has spread beyond regional lymph nodes to distant sites.,,,Very High - Distant disease dramatically reduces survival,"{'Regional': 'Cancer confined to breast and regional lymph nodes', 'Distant': 'Cancer has metastasized to distant organs (bone, liver, lung, brain)'}",,,,"{'Regional': 'Curative intent treatment - surgery, radiation, systemic therapy', 'Distant': 'Palliative intent - focus on quality of life and disease control'}",,,,,,,,,,,,,,,,,,
Tumor Size,Largest dimension of primary tumor in millimeters,Continuous (Numeric),Direct measurement of tumor burden. Correlates with likelihood of lymph node involvement and distant metastasis.,,,High - Larger tumors associated with worse outcomes,,,,,,,,"{'Small': '<= 20mm - Generally favorable prognosis', 'Intermediate': '21-50mm - Moderate risk', 'Large': '> 50mm - Higher risk, may need neoadjuvant therapy'}","{'Breast-conserving': 'Usually feasible for tumors <40-50mm relative to breast size', 'Mastectomy': 'Often required for larger tumors or multicentric disease'}",,,,,,,,,,,,,,
Grade,Histological grade indicating tumor differentiation and aggressiveness,Categorical (Ordinal),"Reflects how much tumor cells differ from normal cells. Higher grades indicate more aggressive, faster-growing cancers.",,,High - Independent predictor of recurrence and survival,"{'Well differentiated; Grade I': 'Low grade - Slow growing, resembles normal tissue', 'Moderately differentiated; Grade II': 'Intermediate grade - Moderate growth rate', 'Poorly differentiated; Grade III': 'High grade - Fast growing, aggressive', 'Undifferentiated; anaplastic; Grade IV': 'Very high grade - Highly aggressive'}",,,,High grade tumors often benefit more from chemotherapy,,,,,"{'Tubule Formation': 'Percentage of tumor forming tubular structures', 'Nuclear Pleomorphism': 'Variation in nuclear size and shape', 'Mitotic Count': 'Number of dividing cells per high-power field'}",,,,,,,,,,,,,
Estrogen Status,Estrogen Receptor (ER) expression status of tumor,Categorical (Binary),ER-positive tumors grow in response to estrogen and can be treated with hormone therapy. Approximately 70-80% of breast cancers are ER-positive.,,,Very High - ER+ cancers have better overall prognosis,"{'Positive': 'ER expression >= 1% of tumor cells by IHC', 'Negative': 'ER expression < 1% of tumor cells'}",,,,"{'ER-Positive': 'Eligible for endocrine therapy (tamoxifen, aromatase inhibitors)', 'ER-Negative': 'Chemotherapy primary systemic treatment option'}",,,,,,Immunohistochemistry (IHC) on tumor tissue,"{'Luminal A': 'ER+/PR+/HER2-, Grade 1-2 - Best prognosis', 'Luminal B': 'ER+/PR+/- HER2+/-, Grade 2-3 - Intermediate prognosis'}",,,,,,,,,,,
